CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	77	2.0	7.92	2.097e-09	1.106e-08	1.4e-07	1.766e-10	2.593e-10	1.20000000028e-05	0.00031995	8.55478e-10	0.0278951048781	0	0.001389	0.0003461	0.002148	0	0	6.407e-05
CONSENTRATIONS	78	2.0	7.921	2.046e-09	1.081e-08	1.365e-07	1.722e-10	2.528e-10	1.20000000028e-05	0.00031995	8.3387e-10	0.0278951048731	0	0.001389	0.0003461	0.002148	0	0	6.399e-05
CONSENTRATIONS	79	2.0	7.921	1.998e-09	1.056e-08	1.331e-07	1.679e-10	2.466e-10	1.20000000028e-05	0.00031995	8.13367e-10	0.0278951048671	0	0.001389	0.0003461	0.002148	0	0	6.392e-05
CONSENTRATIONS	80	2.0	7.922	1.952e-09	1.033e-08	1.299e-07	1.639e-10	2.406e-10	1.20000000028e-05	0.00031995	7.93768e-10	0.0278951048621	0	0.001389	0.0003461	0.002148	0	0	6.385e-05
CONSENTRATIONS	81	2.0	7.922	1.908e-09	1.011e-08	1.268e-07	1.6e-10	2.35e-10	1.20000000028e-05	0.00031995	7.75175e-10	0.0278951048571	0	0.001389	0.0003461	0.002147	0	0	6.378e-05
CONSENTRATIONS	82	2.0	7.922	1.867e-09	9.897e-09	1.239e-07	1.564e-10	2.296e-10	1.20000000028e-05	0.00031995	7.57385e-10	0.0278951048531	0	0.001389	0.0003461	0.002147	0	0	6.372e-05
CONSENTRATIONS	83	2.0	7.923	1.827e-09	9.695e-09	1.211e-07	1.528e-10	2.245e-10	1.20000000028e-05	0.00031995	7.40399e-10	0.0278951048481	0	0.001389	0.0003461	0.002147	0	0	6.366e-05
CONSENTRATIONS	84	2.0	7.923	1.789e-09	9.502e-09	1.185e-07	1.495e-10	2.195e-10	1.20000000028e-05	0.00031995	7.24117e-10	0.0278951048441	0	0.001389	0.0003461	0.002147	0	0	6.36e-05
CONSENTRATIONS	85	2.0	7.924	1.753e-09	9.318e-09	1.159e-07	1.463e-10	2.148e-10	1.20000000028e-05	0.00031995	7.08538e-10	0.0278951048401	0	0.001389	0.0003461	0.002147	0	0	6.355e-05
CONSENTRATIONS	86	2.0	7.924	1.718e-09	9.141e-09	1.135e-07	1.432e-10	2.103e-10	1.20000000028e-05	0.00031995	6.93662e-10	0.0278951048361	0	0.001389	0.0003461	0.002147	0	0	6.349e-05
CONSENTRATIONS	87	2.0	7.924	1.685e-09	8.971e-09	1.112e-07	1.403e-10	2.06e-10	1.20000000028e-05	0.00031995	6.7939e-10	0.0278951048321	0	0.001389	0.0003461	0.002147	0	0	6.344e-05
CONSENTRATIONS	88	2.0	7.925	1.653e-09	8.808e-09	1.089e-07	1.374e-10	2.018e-10	1.20000000028e-05	0.00031995	6.6572e-10	0.0278951048281	0	0.001389	0.0003461	0.002147	0	0	6.339e-05
CONSENTRATIONS	89	2.0	7.925	1.622e-09	8.651e-09	1.068e-07	1.347e-10	1.978e-10	1.20000000028e-05	0.00031995	6.52553e-10	0.0278951048251	0	0.001389	0.0003461	0.002147	0	0	6.335e-05
